,user_a,user_b
490,"Hhaha, giỏi lắm con trai, vô đây bố chấp.","Ây, tức quá, chơi game thắp nhan à."
491,"Haha, do mày gà thôi, cùi bắp. <eos> Thôi giờ đánh xếp hạng đi","Ừa, vào gánh tao nhé, mày Malphite tao Yasuo. Oke chưa?"
492,Oke luôn.,
493,Có chơi thể thao không Minh?,Có
494,Mày chơi môn gì nhỉ,"Tao chơi bóng đá, bóng rổ, cầu lông."
495,Mày chơi nhiều vậy <eos> Vậy chứ mày giỏi nhất môn gì,Bóng đá
496,Mày chơi vị trí nào,Thủ môn
497,Vậy hôm nào tao với mày lập team đá giao lưu đi,Được thôi
498,"Chào Thức, lâu quá không gặp, _x001d_bạn khỏe không?","Mình khỏe, còn bạn thì sao?"
499,"Mình cũng khỏe, Sáng mai bạn có thời gian rảnh không?","Ừ, sáng mai mình rảnh."
500,Sáng mai mình đi xem phim nha?,Được đó. Phim bắt đầu lúc mấy giờ vậy?
501,Khoảng 10 giờ.,Bạn qua chở mình đi được không?
502,"OK, mình sẽ đến đón cậu sớm hơn một chút và chúng ta sẽ đến quán cafe cạnh rạp chiếu phim, như vậy được không?","_x001d_Được, mình rất thích nơi đó. Hẹn gặp _x001d_bạn ngày mai."
503,Tạm biệt,Tạm biệt
504,"Nhân này, sắp tới ngày 01 tháng 06 cậu đã có dự định gì chưa?","À 01 tháng 06 hả, để xem nào…mình chưa có dự định hay kế hoạch gì cả."
505,Vậy cậu nghĩ sao về một chuyến picnic trong ngày vào hôm đó cùng mình và những người bạn thời sinh viên?,"Ohhh, đúng là một ý kiến không tệ!! Mà cậu đã chọn được nơi để đi chưa?"
506,"Haha, mình chưa chọn được địa điểm nữa","Haha, vậy cậu nghĩ sau về một chuyến đi biển ở Vũng Tàu? Những ngày hè này mình thấy đi biển khá là hợp lý và chi phí cũng không phải là vấn đề."
507,Ok được đấy! Vậy để mình liên hệ với những người khác để thông báo nhé,Mình cũng sẽ liên hệ với họ cùng cậu nhé.
508,Mai sáng tui bắt đầu làm,"Tui cuối tuần mới làm được, đi ship cả ngày"
509,Shipper hả ông <eos> Mưu sinh à?,Ừ <eos> Kiếm thêm thu nhập
510,Ưa thì cứ sắp xếp làm thôi <eos> Còn 1 tháng lận mà <eos> Quan trọng <eos> Là khúc trả lời câu hỏi,Ừm
511,Phim này dở quá ha ông,"đúng rồi đó, diễn viên vừa xấu, diễn vừa tệ mà nội dung không rõ ràng"
512,Tốn tiền mua 2 vé phim mà không đáng giá tý nào,"Phải rồi, nếu được mua lại tui sẽ chọn phim khác"
513,"Đúng rồi ông, tui thấy phim kia được đánh giá cao lắm","Được rồi, khi nào rảnh, tui với ông sẽ đi xem phim đó"
514,Ok ông,
515,Ê bạn hình như có dr.strange 2 rồi kìa,Ngày nào chiếu vậy bro?
516,chiếu sớm ngày 4/5 nhé,Hôm đó tôi đang ở quê chưa lên coi được
517,thế thì ngày 7/5 đi coi được không?,Ôi tuyệt vời luôn bạn ơi
518,Thế tao đặt vé lúc 19h nha đi được không?,Được bạn. Đặt ghế hàng G H gì đó nha
519,Ok 18h t qua đón mày đi ăn,Ok bro
520,"alo, sáng sớm ăn uống gì chưa?",Chưa bạn
521,Đi ăn không? Tao tìm được quán ngon lắm,Tao đang bận
522,Tao khao kèo này,Đang bận đồ bro
523,Mày thích ăn bún hay cơm,Món có nước là Ok hết
524,tao đang qua nhà mày chuẩn bị xuống đi,Ok. Tao đang chờ ở cổng
525,Bạn có hay nghe nhạc không?,Có chứ bạn. Mình thích nghe nhạc pop
526,Mình cũng vậy. Nhưng mình chỉ nghe nhạc nước ngoài thôi,Ồ vậy hay nghe nhạc của nước nào?
527,Mình chỉ nghe nhạc Trung là chủ yếu,"Nhạc Trung nghe hay thật, mình cũng hay nghe lắm"
528,Mà mình chỉ nghe nhạc phim thôi chứ cũng không nghe hay thần tượng ai hết,Bạn với mình giống nhau ghê
529,Hay là bữa nào tụi mình cùng nghe nhạc đi,Đồng ý 2 tay luôn
530,Cuối tuần này đi đá banh không bạn?,"Ok, cho nhau cái hẹn nào bạn"
531,Sáng 7h gặp nhau rồi đi chung ra sân nha,Ok mà có những ai đi nữa vậy?
532,"À có mình, bạn, Minh, Cường, Hải với vài người nữa",Có gì thì tụi mình rủ thêm càng đông càng vui
533,Đá tới trưa ăn cơm xong mình đá tiếp không bạn,"Thôi bạn, chiều mình phải đi học võ Taekwondo nữa"
534,"Ồ vậy thôi, khi nào rảnh thì hẹn tiếp","Ok bạn, ngày mai gặp"
535,Lâu rồi tụi mình không đi đâu du lịch nhỉ,Uh cũng 2 năm kể từ khi đi Đà Lạt rồi
536,Hay cuối năm nay mình chơi lớn đi du lịch nước ngoài đi,Đi Thái Lan được không hay đi Hàn Quốc
537,Đi Hàn đi biết đâu mình gặp được idol thì sao,"Bạn mê idol thế, còn mình chỉ muốn đi chơi rồi ăn uống các thứ thôi <eos> Mà tùy bạn mình chiều theo bạn hết"
538,"Ok vậy mình đi Hàn nha, qua đó cũng nhiều đồ ăn ngon lắm","Ok luôn, nhắc tới đồ ăn là chảy dải rồi"
539,Vậy chốt là tụi mình đi Hàn chơi,
540,Sở thích của bạn là gì?,Tôi thích nhất là đọc sách và nghe nhạc. <eos> Còn bạn thì sao?
541,"Tôi cũng rất thích đọc sách, thể loại tôi thích nhất là đọc sách.","Tôi cũng thích tiểu thuyết, tôi đã từng có một bộ sưu tập tiểu thuyết nữa đấy."
542,Thật là ngạc nhiên!,Điều đó là thật đấy. <eos> Bạn thích nhất cuốn tiểu thuyết nào?
543,Tiểu thuyết tôi thích nhất là Harry Potter. Bạn biết nó chứ?,"Tất nhiên rồi, tôi đã đọc nó ít nhất là 2 lần."
544,"Tuyệt vời, có vẻ như tôi và bạn có cùng sở thích.",Tôi với bạn hợp nhau ghê.
545,Hi bạn,hi <eos> Ai vậy?
546,Tui học chung môn nhập môn ngôn ngữ tự nhiên với ông nè. <eos> Ông có nhóm chưa cho tui vô với,À nhớ rồi <eos> Tui cũng chưa có nhóm nè
547,Vậy mình gộp lại chung 1 nhóm nha,Ok luôn bạn ơi
548,"Ê, mấy nay đi đâu đấy",Có đi đâu đâu trời
549,Thì không thấy ghé đây chơi,Đang bị covid <eos> Ai dám đi đâu được bạn ơi
550,Ủa vậy hạ? <eos> Có ho sốt nhiều không bạn <eos> Uống thuốc chưa?,"Có ho, có sốt  <eos> Mệt lắm bạn ơi"
551,Thôi lo uống thuốc đi bạn. <eos> Mà bạn uống thuốc gì chưa?,"Mẹ tui mua rồi, uống được qua nay"
552,Lo uống thuốc điều đặn vô <eos> Vài hôm là bớt thôi mà ,"Ok bạn hiền <eos> Thôi nằm chút nha, đau đầu quá"
553,OK <eos> Chúc bạn mau khoẻ <eos> Bye,Bye
554,Hello em,Ai vậy ạ?
555,Anh Tùng mới gặp em ở đám cưới bé Ninh ấy <eos> Em tên Vân phải không,"Yes, anh là bạn chú rể phải không"
556,Chuẩn luôn em ơi,Anh nt em có dụ gì không
557,À thấy em dễ thương nên hỏi thăm chơi á mà <eos> Nghe cô dâu nói em còn FA,"Hehe, lâu quá mới có người khen  <eos> Cơ mà anh Tùng không sợ bị bạn gái la à"
558,"Hông em ơi, anh làm gì đã có bạn gái",Anh vui tính nhể <eos> Mà thôi em đi ngủ nha <eos> Nay uống hơi nhiều em mệt
559,Ok em <eos> Ngủ ngon,
560,Ê lễ này đi chơi đâu cho vui không,Đi Đà Lạt đi
561,"Thôi thôi, đông lắm  <eos> Có mà ra hồ nằm đất",Nói nghe chán đời thế
562,Đi đâu trăng thanh gió mát đi,Trăng thanh gió mát thì đi Đà Lạt chứ còn đâu <eos> Hay đi Spa luôn cho nó máu
563,Thôi thôi đi biển Vũng Tàu thôi  <eos> Tiền không có mà vẽ cho to,Oke chốt
564,Ê ,Sao sao?
565,"Có phim mới, có phim mới",Phim gì?
566,"Kị sỹ ánh trăng, phim Mavel đấy",Là phim của mavel thì chất lượng khỏi chê
567,Đúng rồi <eos> Có nhà không?,Có  <eos> Qua đây cày phim chung
568,Đúng ý tớ rồi đấy,30p nữa nhé cậu
569,Ok luôn,
570,Đói quá bạn ơi,Ơi <eos> Ăn gì ở đâu
571,"Bò Né <eos> Chỗ cũ, giờ cũ",Oke bạn 
572,Môn thể thao yêu thích của bạn là gì?,Tôi thích bóng rổ. Tôi xem các trận đấu trên TV mọi lúc.
573,Ai là đội yêu thích của bạn?,U23 Việt Nam
574,Họ có thực sự tốt trong năm nay không?,Vâng họ chơi rất tót. Bạn có thích họ không? <eos> Bạn có nghĩ rằng họ sẽ giành chức vô địch năm nay không?
575,Cũng có thể. Họ có một số cầu thủ thực sự giỏi.,Bạn đã xem trận đấu tối qua chưa?
576,"Một chút, tôi không xem toàn bộ trận đấu. Đó là một trận đấu tuyệt vời.",
577,Cậu thường làm gì vào những lúc rảnh rỗi?,Mình rất thích xem các bộ phim nước ngoài. Còn cậu thì sao?
578,Mình thích các hoạt động ngoài trời. Cậu có thích cắm trại không?,"Chỉ cắm trại qua 1 đêm thì không sao, mình không thể cắm trại qua nhiều hơn 1 đêm được!"
579,Cậu đã bao giờ cắm trại ở Đà Lạt chưa?,"Chưa, nhưng mình rất thích được cắm trại ở đó. Mình nghe nói đó là nơi rất tuyệt"
580,Nó rất lãng mạn. Mình va mọi người trong gia đình đều thích nơi này.,Cậu có bức ảnh về cảnh cắm trại ở đó không?
581,"Có chứ, cậu có muốn xem không?",Hay quá!
582,"Alo, Cậu có đang rảnh không ?",Sao vậy cậu ? Tớ đang xem phim.
583,"Tớ muốn rủ cậu đi ăn tối, cậu có rảnh không ?",Tớ rảnh nha
584, Cậu muốn ăn gì ?,Cậu muốn ăn thế nào ? Cậu muốn ăn bún đậu hay phở không ?
585,Cậu _x0008_thấy bún bò huế thế nào ?,"Ồ, cũng không tồi đấy. Đi thôi!"
586,Tớ qua đón cậu nhé!,"Ok, cảm ơn cậu!"
587,Tuần sau chúng ta đi du lịch không?,Cậu muốn đi đâu?
588,Cậu muốn  biển hay đi núi nhỉ ?,Đang mùa hè hay là đi biển nhỉ?
589,Mình đi Vũng Tàu chứ nhỉ?,"Cũng được đấy, tớ muốn ăn trứng lòng đào ở đó quá."
590,Sắm vài bộ outfit để chụp ảnh cậu nhỉ?,"Hay nha, đúng ý tớ đó."
591,"Quyết định vậy nha, hẹn gặp câu Thứ 2 tuần sau!","Ok, chào cậu."
592,"Tuần này có nhiều phim khá hot, cậu muốn đi xem không ?",Là một fan của Marvel thì không nên bỏ qua Doctor Stranger nha.
593,Chúng ta nên đặt vé trước để có chỗ ngồi ổn chứ nhỉ? Sợ hết ghế đẹp cậu ạ!,Đúng rồi đó cậu. Phim mà tớ rất mong chờ.
594,Cậu muốn ngồi hàng ghế nào? I hay J ? Vì chỉ còn 2 hàng đó có ghế đẹp thôi cậu ạ.,"Hàng J đi cậu, tớ thấy hàng đó ổn hơn ấy."
595,"Vậy tớ đặt suất 19:00 ngày 08/05, rạp vivo, hàng J16 J17 nhé? Cậu thấy sao?","Được nha cậu, cậu qua đón tớ được không?"
596,"Được nha, tầm 18h tớ qua nhé.",Cảm ơn cậu!
597,Dạo này cậu thế nào rồi?,"Tớ vẫn khỏe, nhưng mà deadline nhiều quá, cảm giác hơi stress. Còn cậu thì sao?"
598,"Tớ cũng ổn, nhưng dạo này tớ bắt đầu đi thực tập rồi nên vừa học vừa thực tập hơi mệt.","Wow, cậu giỏi thế. Được nhận đi thực tập sớm vậy thì phải cố gắng nha"
599,"Có giỏi gì đâu cậu ơi, tớ đậu được là do may mắn thôi, nên bây giờ phải tự học kiến thức mới rất nhiều","Cố lên cậu ơi, nào công ty có tuyển nửa thì nhắn tớ một tiến nhá, tớ cũng đang tìm chỗ thực tập"
600,Okie cậu. Cuối tuần này cậu có rảnh không? Đi ăn với tối với tớ,"Tớ rảnh, thế cậu muốn ăn ở đâu?"
601,"Chỗ cũ, bò lá lốt Tân Quy nha.","Okie cậu, hẹn cậu 6h nhá."
602,"Alo, Cậu có đang đi học không?",Tớ không. Tớ đang ở nhà thôi
603,Muốn đi mua sắm gì không ? tớ cũng đang rảnh.,"Cũng được, tớ cũng có vài món muốn mua."
604,Vậy tí mình đi Vincom Đồng Khởi nhé,Sao cậu không đi Crescent Mall cho gần
605,"À, tớ có thấy mấy hiệu quần áo bên này cũng xinh, nên sẵn mình đi 2 chỗ luôn",Thế tầm 2 tiếng sau tớ qua đó nhé
606,"Được, thế tí gặp lại cậu nha. Chào cậu.",Chào cậu.
607,bạn tên gì?,Mình tên Vinh? <eos> còn bạn tên gì? 
608,Hiếu <eos> Bạn học ở đâu?,"Mình ở nhà, còn bạn?"
609,Quê bạn ở đâu,"Quê mình ở Hà Nội, còn bạn?"
610,Quê mình ở Thành Phố Hồ Chí Minh,
611,"Chào Vinh, điểm cuối kì môn xử lý ngôn ngữ kì trước được mấy ?","À, mình được 9.9 điểm à. Mình có đăng ký học lại để nâng điểm á. "
612,"Ồ vậy à, mình được có 8. Có khi mình cũng học lại để nâng điểm cùng bạn","Nghe được á, mà bạn định đăng ký vào nhóm mấy?"
613,"À, mình tính đăng ký nhóm 6. ","Thế chung nhóm với mình rồi, bạn có biết thầy tên gì không?"
614,Hình như thầy tên là Lê Anh Cường á bạn. Nghe nói thầy dễ lắm,"Ồ cảm ơn bạn, ông anh mình cũng bảo học thầy dễ thương lắm."
615,"Oke, vậy hẹn gặp bạn ở buổi học tới.","Ok bạn, hẹn gặp bạn trong buổi học tới."
616,"Ê Vinh, mai đi coi phim Doctor Strange mới ra của Marvel không?","Nghe được đó, mà Hiếu bao vé hả?"
617,"Ừa, mày rảnh thứ mấy?",Chắc tao rảnh được mỗi Chủ nhật tuần này. Mà mấy giờ phim chiếu vậy?
618,"Tao tính đi 6 giờ chiều. Mà có nhiều khung giờ lắm, rảnh tầm nào đi tầm đó.", Đi 4 giờ đi. Coi phim xong còn sớm rồi mình đi ăn đâu đó.
619,Xem xong đi ăn lẩu băng chuyền không?,"Lẩu băng chuyền à, nghe nhức nách đấy. Chốt luôn mày ơi."
620,Mày bao nhé?,"Được, tao sẽ bao mày một bữa thịnh soạn."
621,"Chào Vinh, hân hạnh được gặp bạn <eos> Vinh cho mình hỏi quê bạn ở đâu vậy?","Chào bạn, trước tiên bạn là ai, hỏi quê quán mình làm gì?"
622,"Mình là Hiếu, mình muốn làm quen thôi","A, có phải Hiếu PC đấy không. Tao nè, Vinh Khuất quê Sơn La nè"
623,"À ra là Vinh, quê tao cũng Sơn La nè. Đồng hương rồi",26 Sơn La chào anh em nhé. Bữa nào hẹn nhau làm một chuyến về quê chơi không?
624,"Oke bạn, tôi đợi cái hẹn này lâu lắm rồi đấy","Được bạn, hẹn bạn vào một ngày không xa."
625,Oke bạn,
626,"Chào bạn, bạn có phiền nếu mình xin facebook được không ạ?","Chào bạn, được không vấn đề gì. Facebook của mình là VinhXinhGai"
627,"Ồ, mình tìm thấy rồi. Cám ơn bạn.  <eos> Nãy mình thấy bạn hát trên sân khấu hay quá. Mình làm quen được không?",Ok bạn
628,Bạn đã tập luyện trong bao lâu để giọng hát hay như vậy?,Mình tập cũng gần 2 năm rồi
629,"Mình cũng thích được người khác hát cho mình nghe mặc dù mình hát không được hay cho lắm, bạn có thể hát cho mình nghe được không?","Do hôm nay mình mới đi hát về, nên mình đang hơi mệt, có lẽ để khi khác nha."
630,Ok. Hẹn bạn vào cuối tuần nhé.,
631,"Ê Vinh, lát nữa học xong đi ăn bánh giò không?","Hả, lại bánh giò à? Ăn cái khác đi"
632,"Hừm, vậy ăn bún đậu mắm tôm nha?",Nghe hợp lý đó. Đi liền <eos> Mà mày bao tao nha. 
633,Ok không vấn đề. Mày có ăn được mắm tôm không đó? ,"Có chứ, ăn bún đậu mà không ăn mắm tôm thì phí quá"
634,"Haha, tưởng mày sẽ ăn với nước tương cơ. Vậy 5 giờ tao đón mày trước cổng trường nhé","Ok luôn. À đi ăn xong đi uống trà sữa nhé, tao bao lại."
635,Ok không vấn đề.,
636,"Cái túi này đẹp quá nhỉ , Hiếu?","Ừ, tôi cũng thấy vậy. Bao nhiêu tiền đó?"
637,1 triệu. Ôi mắc quá. ,Này có đôi giày này hợp với ông nè. Thử đi
638,"Hừm, nhìn cũng đẹp đó. Để tôi xem",Đôi này có 500 nghìn à. Cũng đáng để mua đấy
639,Size này hơi chật với chân tôi rồi. Tiếc quá,"Không sao, còn nhiều đồ để lựa mà <eos> Thử xem cái áo này đi."
640,"Ok ông, để tôi xem nào.",
641,"Chào cậu, mình là Vy bạn cùng lớp môn Chính Trị hồi năm 4 với cậu nè.","À chào cậu, mình nhớ rồi. Mà cậu tìm mình có gì không?"
642,À cũng không có gì to tát. Mình chỉ muốn cảm ơn cậu đã giúp đỡ mình qua môn. ,"À không có gì đâu bạn, mà còn có việc gì quan trọng khác nữa không?"
643,"Dự là tuần sau mình đám cưới, đây là thiệp cưới mình gửi bạn, gia đình mình rất vinh dự khi có sự chung vui của bạn.","Ồ chúc mừng bạn nhé, cũng cảm ơn bạn vì đã mời mình tham dự."
644,"Ha ha, không có gì đâu nè. Mong được sự góp mặt của bạn tại đám cưới của mình nha.","Ừ bạn, mình nhất định sẽ đến tham dự đám cưới của bạn."
645,Cảm ơn bạn nhé. Chúc bạn một ngày tốt lành.,Ừ cảm ơn bạn rất nhiều.
646,"Chào ông, nay tôi hẹn ông ra có việc cần nhờ. Cảm ơn ông vì đã tới.","À không có gì đâu ông, dù gì cũng chổ quen biết nên cũng ráng giúp ông vài việc."
647,"Cảm ơn ông, ông tốt quá. Dự là tôi có miếng đất muốn bán nhưng rao mãi không bán được.",Nên ông định nhờ tôi môi giới dùm đúng không?
648,"Đúng rồi ông, tôi cũng đang cần tiền nên bán được càng nhanh càng tốt.","Ok, tôi sẽ giúp ông. Giờ ông cho tôi xin thông tin về phần đất của mình đi."
649,"Được, đây ông. Đất ngoại thành nên cũng khá rộng. Đủ để xây khu nghỉ dưỡng nhỏ.","Chà cũng được đấy, thế ông định ra giá bao nhiêu cho phần đất này?"
650,Dự tính ban đầu của tôi là 100 tỷ. Ông thấy sao?,"Được, tôi thấy ổn đấy. Vậy có gì tôi sẽ đăng bán. Nếu có người mua tôi báo ông ngay."
651,"Thế thì tốt quá, cảm ơn ông.",
652,bạn tên gì vậy?,mình tên Vũ <eos> còn bạn tên gì?
653,Hoàng <eos> bạn học ngành gì?,mình học khoa CNTT <eos> còn bạn?
654,2 đứa mình chung khoa nè,"wow, thế bạn năm mấy?"
655,năm nhất <eos> bạn năm mấy?,"năm nhất luôn, hahaha"
656,bạn ở trọ hay ở ktx?,ở ktx <eos> bạn ở ktx luôn hả?
657,ừ <eos> vậy bửa nào đi chơi nghen?,ok
658,"ê, đi chơi không?",đi chứ <eos> mà đi đâu mới được?
659,đi coi phim,"ok, mấy giờ?"
660,7h đi,đi coi phim gì?
661,lên rạp rồi lựa luôn,sao không chọn phim luôn? lên rạp mua vé cho lẹ
662,vậy để tao coi thử có phim gì? <eos> mà mày thích phim gì?,hành động hay kinh dị gì đó
663,"ok, vậy xem phim kungfu panda","đù, mấy giờ?"
664,8h30,ok
665,lâu quá không gặp mày. ,"ừ, mày nay sao rồi?"
666,bình thường <eos> mày ra trường chưa?,chưa
667,"trời, sao chưa ra nữa?",còn nợ môn
668,nợ mấy môn?,4 môn
669,ít dữ hen <eos> ngành của mày khó không?,"không, mà là học không biết gì"
670,haha,mày đi làm rồi hả?
671,ừ,mày làm ở đâu?
672,ngân hàng Agribank ở quận 7,gê mày
673,đi làm vui không?,vừa vui vừa mệt
674,cậu xem phim bác sĩ trang chưa á?,ủa phim bác sĩ trang là phim gì ta ?  <eos> làm gì có phim nào tên như thế đâu ta?
675,phim dr strange đó cậu,"à trời, tưởng phim gì chứ mới xem hôm qua luôn nè. <eos> phim đó nói về việc du hành đa vũ trụ với hậu quả của nó mà"
676,à vậy hả?,ừm. trong đó có cuốn sách là darkhold đỉnh lắm. <eos> có đoạn thằng trang nhập xác hóa thay ma đúng bá luôn.
677,"má đừng có spoil chứ ba, t chưa xem phim đó nha đừng có kể nữa chửi á.",thì ai nói gì đâu nhưng mà đoạn cuối thằng trang mọc thêm một con mắt nữa ảo vãi.
678,"thôi t không nói chuyện với m nữa, toàn spoil thôi.",
679,Bạn tên gì?,Mình tên Thắng <eos> Còn bạn tên gì?
680,Mình thì tên Ngân <eos> Bạn sinh năm mấy vậy?,Mình sinh năm 2000
681,Vậy chúng mình bằng tuổi nhau rồi. Mình cũng sinh năm 2000,Vậy bạn sinh vào tháng máy?
682,Mình sinh vào tháng 12 <eos> Còn bạn sinh tháng mấy vậy?,Mình cũng sinh vào tháng 12
683,Bạn học trường gì?,Mình học trường đại học Tôn Đức Thắng <eos> Còn bạn học trường gì?
684,Mình học Cao đẳng nghề Du Lịch Sài Gòn,Bạn học chuyên ngành gì vậy?
685,Mình học chuyên ngành Quản trị nhà hàng khách sạn <eos> Còn bạn học chuyên ngành gì?,Mình học ngành Công nghệ thông tin
686,Vậy chắc bạn phải giỏi máy tính lắm nhỉ?,"Không có đâu, mình chọn ngành này vì mình thích máy tính thôi"
687,Bạn cứ khiêm tốn <eos> Bạn học năm mấy rồi?,Mình học năm tư <eos> Còn bàn học năm mấy?
688,Mình cũng học năm tư,Vậy là bạn sắp ra trường rồi đúng không?
689,Đúng rồi <eos> Tháng 9 năm nay mình ra trường,
690,Bạn có muốn đi du lịch với tớ không?,Chắc rồi <eos> Nhưng ta sẽ đi đâu?
691,Bạn nghĩ sao về việc du lịch Đà Nẵng,"Tuyệt vời, mình cũng muốn đi du lịch Đà Nẵng <eos> Vậy khi nào chúng ta đi?"
692,Khoảng hè,Bạn có thể cho mình một thời gian cụ thể được không?
693,Chắc là tầm đầu tháng 6 năm nay,"Ok, nhưng cuối tháng 6 được không?"
694,Sao vậy?,Đầu tháng 6 mình có cuộc thi Toeic cần phải tham gia
695,Cũng được <eos> Vậy chốt cuối tháng 6 ta sẽ đi Đà Nẵng nhé,Ok <eos> Chúng ta cần bao nhiêu cho chuyến đi lần này?
696,Mình nghĩ tầm khoảng 10 triệu,Chúng ta sẽ đi bằng cái gì?
697,Chúng ta sẽ đi bằng máy bay đến đó,Lúc về chúng ta đi bằng xe lửa nhé?
698,Được thôi nhưng thời gian sẽ lâu hơn đi máy bay đó,Tuy lâu nhưng chúng ta sẽ được ngắm nhiều cảnh đẹp hơn
699,Ok,
700,Bình thường bạn thích làm gì khi rảnh?,"Tui thích đi xem phim, đi uống trà sữa hay đi chơi với bạn bè <eos> Bạn thì sao?"
701,Tui cũng như bạn thôi <eos> Có đôi lúc rảnh mà không muốn ra đường thì tui cũng hay tập yoga tại nhà,Bạn có thích uống trà sữa không?
702,"Có á, nhưng mà tui không uống thường",Vậy bữa nào mình hẹn nhau đi uống trà sữa nghen?
703,"Ok bạn <eos> Bữa nào chi bằng làm liền bữa nay, đi ngay không bạn?",Ok đi thôi
704,Nghe nói có phim Doctor Strange mới ra hay lắm <eos> Hay là tụi mình đi coi đi?,"Thôi bạn ơi, mình hết tiền rồi"
705,"Đi đi, BHD có chương trình U22 giảm giá cho sinh viên, chỉ 55k thôi à",55k cũng là tiền mà bạn
706,"Chưa cuối tháng mà bạn tui tiết kiệm thế <eos> Thôi được rồi, đi đi tui bao","Đấy, bạn nói vậy từ trước thì có thể tiết kiệm được thời gian không "
707,Thua với bạn. Vậy hẹn nhau 5 giờ chiều ở BHD Phạm Hùng nhé,"Ok bạn, cảm ơn bạn nhiều!"
708,Bạn có thích chơi cầu lông không?,Có. Mình cũng thích chơi cầu lông. <eos> Mà dạo này bận quá không có đi chơi được.
709,Vậy khi nào bạn rảnh chúng mình cùng đi chơi nha?,Ok. Vậy mình chủ nhật tuần này chúng mình đi đi.
710,Được nha.,
711,Khi nào có đề bài tập cuối kì nhỉ?,Chắc cũng sắp rồi á.  <eos> Cũng gần kết thúc môn rồi.
712,Sợ gấp quá làm không kịp. <eos> Với lại có còn nhiều môn khác nữa.,Chắc sẽ có sớm thôi.
713,Cũng mong là vậy.,
714,bạn tên gì?,Mình tên Long? <eos> còn bạn tên gì? 
715,Nam <eos> Bạn học ở đâu?,
716,"Chào bạn, bạn tên gì ?",Mình tên Long <eos> Còn bạn tên gì ?
717,Mình tên Nam <eos> Bạn đang học ở đâu ?,Mình đang học ở Tôn Đức Thắng <eos> Còn bạn đang học ở đâu ?
718,Mình cũng học ở Tôn Đức Thắng,Bạn học ngành gì ?
719,Mình học ngành Công Nghệ Thông Tin,
720,"Ê, nay có học không mày ?",Không mày
721,Thầy nghỉ hay sao mày ?,Có tao nghỉ chứ thầy không nghỉ
722,Coi chừng nghỉ lố buổi nha mày,Khỏi lo
723,Có đề cương ôn nhớ đưa nha mày,Oke fen
724,Chiều ghé Phúc Long mày,ừ mày
725,Chiều nay đi đá banh không ?,"Ừ, chiều nay đá"
726,Nhớ mang banh mày,Ô kê <eos> Mày nhớ mang banh theo nha
727,"Ừm, để tao mang banh <eos> Nhưng mày mang nước nha",Thằng nào thua thì chịu tiền nước
728,"Ừ, nhớ nha mày","Ừ, nhớ thua chịu tiền nước"
729,Thích món gì ?,Bánh tráng trộn
730,Thích môn thể thao nào ?,Đá banh
731,Thích nước ngọt loại gì ?,Coca-cola
732,Thích uống cà phê không  ?,Có
733,Thích đọc sách không ?,Có
734,Học bài chưa ?,chưa
735,Biết mai thi không ?,không
736,Có tài liệu chưa ?,có rồi
737,Vậy nhớ in tài liệu cho tao nha,ừ
738,Thanks mày nhiều,"ừ, không có gì"
739,Mai đi xem phim không ?,"Mai tao bận, mốt nha"
740,"Mốt cũng được, nhưng mày bao nước","Ừ, tao bao"
741,Biết đi xem phim gì không ?,Không <eos> Mày chọn nha
742,"Ừm, để tao chọn cho",Nhớ tới sớm nha
743,"Ừ, nhớ",
744,Ê Thanh mai đi coi bác sĩ Trang 2 hum,"oke ông, mấy giờ đi nè"
745,5 giờ tới 7 giờ được không é <eos> coi phim xong mình đi dề luôn,"sớm hơn tí đi, 4 rưỡi tới 6 giờ được không <eos> coi xong sớm rồi đi ăn vắt cũng vui "
746,"hợp lý á, vậy chốt 4 rưỡi tới 6 giờ nha","oke, mà hẹn gặp ngay nhà mày phải không"
747,"đúng rồi nha, mày chuẩn bị đi lác gặp","oke , hiểu rồi, lác gặp lại nhaa"
748,"ê rảnh hong, vào chơi liên quân chung nè","cũng hong rảnh lắm, mà thôi kệ chơi cho vui hehe"
749,"trời ơi , mới ra tướng mới đó mạnh thiệt sự <eos> một mình nó cân được 5 đứa luôn","hahaha, để vô chơi thử nè"
750,"vô lẹ lên nha, cho 5 phút","oke vô rồi đó, chơi liền "
751,Cuối tuần có rảnh không bạn?,Tui rảnh nè
752,Đi uống nước với mấy đứa trong lớp không? <eos> Mấy giờ đi ha,"Chắc 7 hoặc 8 giờ tối gì đó <eos> Oke, qua chở tui với nghe ông"
753,Tui chở thèn bạn rồi ông ơi,"Vậy để tui đi xe cũng được, nhớ qua gọi với nha"
754,"Oke,để nào tới tui kêu","Oke, cuối tuần gặp"
755,Hôm qua tao thấy mày đi với em nào bên Thủ Đức phải không?,Mày thấy đoạn nào?
756,Cái đoạn Đại học Ngân Hàng. <eos> Mới quen được em nào đúng không?,"Mới quen thôi mày ơi, đang giai đoạn tìm hiểu. Mà đừng nói ai nha."
757,"Nhanh nhanh có người yêu đi chứ anh em có hết rồi, mình mày ế tới giờ.","Tao cũng đang cố đây, mà có vẻ lần này chắc kèo mày ạ."
758,"Oke, vậy thì chúc phúc, chúc phúc.","Cá̉m ơn m nha, hôm nào rảnh đi uống nước."
759,Oke chốt kèo.,
760,Chút học ra đi ăn cơm chung không mày,Mày học mấy giờ ra á
